Date of Exam/Incident,Exam Name,Conducting Body,Conducting Body Type,Area(s) of Incident,Leak Confirmation Status,Action taken,Note about action Taken,Note about incident,References ,Year,Month,Month_No,Quarter
2024-08-26,B.Ed. 4th Sem Exam : Creating an Inclusive School,Tamil Nadu Teachers Education University,State,Tamilnadu,accused,Alternative Question Paper Used,Alternative Question Paper Used,Paper leaked on social media before exam,TNTEU registrar relieved after reports of B.Ed exam paper leak (dtnext.in),2024,August,8,3
2024-08-04,MBA 1st year Exam,Pondicherry University,Central,Pondicherry,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media before exam,"Pondicherry University First-year MBBS Exam Paper Leaked, Test Postponed - News18",2024,August,8,3
2024-07-06,Foreign Medical Graduate Examination,National Board of Examinations in Medical Sciences (NBEMS),Central,Kerala,accused,Legal action taken and claim dismissed,"No Rexam and checking of evidence, claim dismissed",Paper leaked on social media,‘So far no evidence’: Kerala Police on FMGE ‘paper leak’ | Thiruvananthapuram News - The Indian Express,2024,July,7,3
2024-06-30,Agriculture Development Officers ,Punjab Public Service Comission,State,Punjab,accused,Unknown,No Rexam,Claim: Offical demanded bribe for leaking paper,"Now, ADO recruitment exam in Punjab under paper leak cloud; Opposition tears into state govt (indianexpress.com)",2024,June,6,2
2024-06-18,UGC NET 2024,National Testing Agency,Central,All India,accused,No Rexam,Exam cancellation decision overruled by Supreme Court,accusation of paper leak,"Supreme Court upholds decision to cancel UGC NET 2024 exam, allows re-examination on August 21 | Mint (livemint.com)",2024,June,6,2
2024-06-09,ADC Recruitment Exam,Tripura Tribal Areas Autonomous District Council,State,Tripura,confirmed,Legal action taken,No Re-exam,Answer Key leaked before exam,adc exam’s answer key leaked one arrested | tripuratimes,2024,June,6,2
2024-05-28,MBA Semster Exam,Devi Ahilya Vishwavidyalaya's (DAVV),State,Madhya Pradesh,confirmed,Exam Cancelled,Legal action taken against involved people,Paper leaked on social media before exam,Indore: Question Papers Of Two Subjects Of MBA In DAVV Leaked 15 Hours Before Exam: Both Exams Cancelled (freepressjournal.in),2024,May,5,2
2024-04-28,VIT Engineering Exam,VIT,Private,All India,confirmed,Chargesheet,Legal action against exam mafia,Leaking of question paper via remote access at a exam center,Engineering entrance exam: STF arrests 2 for VIT question paper leak - Hindustan Times,2024,April,4,2
2024-04-16,Teacher Recruitment Exam,Bihar Public service Comission,State,Bihar,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,TRE 3.0 Paper Leak: Tre 3.0 Paper Leak Case: Five Key Accused Produced In Court | Patna News - Times of India (indiatimes.com),2024,April,4,2
2024-03-17,Civil Services Prelims,Jharkhand Public Service Commission,State,Jharkhand,accused,Reports Denied,dissmised as fake news,Video calimed that seal of question papers found broken,JPSC Conducts Civil Services Prelims: JPSC Conducts Civil Services Prelims Amid Paper Leak Controversy | Ranchi News - Times of India (indiatimes.com),2024,March,3,1
2024-02-17,Constable Exam,Uttar Pradesh Police Recruitment and Promotion Board,State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,Main accused in UP constable exam paper leak arrested: STF | Lucknow News - The Indian Express,2024,February,2,1
2024-02-16,High School English Exam,Assam Board of Secondary Education,State,Assam,accused,Claim dissmissed,dissmised as fake news,claim : question paper leaked from one center,Assam Education Minister Ranoj Pegu Dismisses HSLC Question Paper Leak Claims - News18,2024,February,2,1
2024-02-11,Review Officer/Assistant Review Officer ,Uttar Pradesh Public Service Comission,State,Uttar Pradesh,confirmed,Exam Cancelled,Legal action against exam mafia,Paper leaked on social media,Four more arrested in RO/ARO exam paper leak; Mastermind still elusive | Lucknow News - Times of India (indiatimes.com),2024,February,2,1
2023-12-26,B.Tech CS Question Paper 5th Sem,Parul University,Private,Gujrat,confirmed,Exam Cancelled,Legal action taken against involved people,Selling of question papers,Leaking Exam Papers: Leaking BTech Exam Papers of Parul University Vadodara - Two Arrested | Vadodara News - Times of India (indiatimes.com),2023,December,12,4
2023-12-25,Teacher Eligibility Test,West Bengal Board of Primary Education,State,West Bengal,accused,dismissed claim,Fake news suggested,Claim : paper leak,TET Paper Leak: Govt seeks report after TET paper leak on social media | Kolkata News - Times of India (indiatimes.com),2023,December,12,4
